A,B,C,Z,X,W,V,O1,O2,O3,O4,O5
0,0,0,1,x,x,x,0,0,0,0,0
1,0,0,1,x,x,x,0,0,0,0,1
0,1,0,1,x,x,x,0,0,0,1,0
1,1,0,1,x,x,x,0,0,0,1,1
0,0,1,1,x,x,x,0,0,1,0,0
1,0,1,1,x,x,x,0,0,1,0,1
0,1,1,1,x,x,x,0,0,1,1,0
1,1,1,1,x,x,x,0,0,1,1,1
0,0,0,x,1,x,x,0,1,0,0,0
1,0,0,x,1,x,x,0,1,0,0,1
0,1,0,x,1,x,x,0,1,0,1,0
1,1,0,x,1,x,x,0,1,0,1,1
0,0,1,x,1,x,x,0,1,1,0,0
1,0,1,x,1,x,x,0,1,1,0,1
0,1,1,x,1,x,x,0,1,1,1,0
1,1,1,x,1,x,x,0,1,1,1,1
0,0,0,x,x,1,x,1,0,0,0,0
1,0,0,x,x,1,x,1,0,0,0,1
0,1,0,x,x,1,x,1,0,0,1,0
1,1,0,x,x,1,x,1,0,0,1,1
0,0,1,x,x,1,x,1,0,1,0,0
1,0,1,x,x,1,x,1,0,1,0,1
0,1,1,x,x,1,x,1,0,1,1,0
1,1,1,x,x,1,x,1,0,1,1,1
0,0,0,x,x,x,1,1,1,0,0,0
1,0,0,x,x,x,1,1,1,0,0,1
0,1,0,x,x,x,1,1,1,0,1,0
1,1,0,x,x,x,1,1,1,0,1,1
0,0,1,x,x,x,1,1,1,1,0,0
1,0,1,x,x,x,1,1,1,1,0,1
0,1,1,x,x,x,1,1,1,1,1,0
1,1,1,x,x,x,1,1,1,1,1,1